movie_id,rating_val
00mhz,157
025-sunset-red,161
05-mm,374
0s-1s,69
1-2-3-2016,20
1-2-man,102
1-2013,151
1-2013-1,895
1-4208,157
1-across,10
1-by-two,7
1-ichi,58
1-metre-heure,7
1-nenokkadine,39
1-pm-one-parallel-movie,59
10,913
10-30-pm-summer,40
10-31,180
10-31-part-2,32
10-4-dah-be-alaveh-chahar,8
10-65-self-mutilation,499
10-cent-pistol,33
10-cloverfield-lane,17879
10-days-without-mom,44
10-drawings-for-projection-1989-2011,22
10-items-or-less,199
10-jours-en-or,39
10-min,13
10-minutes,91
10-on-ten,105
10-questions-for-the-dalai-lama,20
10-rillington-place,1394
10-seconds-to-win,22
10-things-i-hate-about-you,11367
10-to-midnight,1561
10-years,1046
100-american,47
100-bloody-acres,597
100-feet,360
100-ghost-street-the-return-of-richard-speck,61
100-girls,152
100-jahre-kino,6
100-men,65
100-meters,67
100-poems-for-stella,68
100-service,21
100-taxes,24
100-tears,147
100-vaginas,18
100-wolf,65
100-years,122
100-years-at-the-movies,118
100-years-of-adolf-hitler,75
100-years-of-japanese-cinema,96
100-yen-love,201
1000-a-minute,11
1000-a-touchdown,15
1000-year-princess,8
10000-bc,1095
10000-km,439
100000-everything-i-never-wanted,24
1001-arabian-nights,21
1001-films,26
1001-grams,161
101-dalmatians,3381
101-dalmatians-animated-collection,16
101-dalmatians-ii-patchs-london-adventure,442
101-dalmatians-the-further-adventures-of-thunderbolt,29
101-reykjavik,293
102-dalmatians,1090
102-minutes-that-changed-america,601
10th-wolf,92
10x10,309
11-11-11,166
11-14,780
11-22-63,1452
11-8-16,143
11-harrowhouse,139
11-minutes,304
11-minutes-ago,18
11-x-14,310
110901-september-11,184
111,13
112-weddings,129
1125-the-day-he-chose-his-own-fate,61
116,43
12,189
12-08-east-of-bucharest,538
12-12-12,41
12-and-holding,251
12-angry-men,17416
12-angry-men-1997,647
12-bar-blues,27
12-citizens,16
12-dates-of-christmas,287
12-explosions,80
12-feet-deep,266
12-gifts-of-christmas,78
12-hour-shift,650
12-oclock-boys,536
12-rounds,697
12-rounds-2-reloaded,186
12-rounds-3-lockdown,186
12-sketches-on-the-impossibility-of-being-still,10
12-strong,1878
12-years-a-slave,16378
12-years-a-slave-a-historical-portrait,8
120-seconds-to-get-elected,501
127-hours,9216
12th-delaware,72
13,340
13-13-13,52
13-assassins,4374
13-beloved,228
13-cameras,477
13-days-in-france,109
13-eerie,211
13-fragments-3-narratives-from-life,6
13-frightened-girls,208
