movie_id,user_id,rating_val
past-lives,omprakashd,9
i-saw-the-devil,omprakashd,10
the-shawshank-redemption,omprakashd,10
final-destination-bloodlines,omprakashd,8
incendies,omprakashd,8
the-sixth-sense,omprakashd,7
a-clockwork-orange,omprakashd,8
saltburn,omprakashd,8
memento,omprakashd,9
smile-2-2024,omprakashd,4
spider-man-no-way-home,omprakashd,8
american-psycho,omprakashd,8
longlegs,omprakashd,8
immaculate-2024,omprakashd,7
deadpool-wolverine,omprakashd,8
spider-man-across-the-spider-verse,omprakashd,10
monkey-man,omprakashd,9
joker-2019,omprakashd,9
glass-onion,omprakashd,9
heretic-2024,omprakashd,7
the-proposal-2009,omprakashd,7
cure,omprakashd,9
the-shining,omprakashd,8
passengers-2016,omprakashd,6
nope,omprakashd,8
requiem-for-a-dream,omprakashd,7
batman-begins,omprakashd,8
the-maze-runner,omprakashd,7
grave-of-the-fireflies,omprakashd,10
dune-part-two,omprakashd,10
the-lord-of-the-rings-the-two-towers,omprakashd,10
the-first-omen,omprakashd,8
oppenheimer-2023,omprakashd,10
dead-poets-society,omprakashd,9
insidious,omprakashd,7
the-fall-guy-2024,omprakashd,7
dune-2021,omprakashd,10
evil-dead-rise,omprakashd,7
tenet,omprakashd,8
joker-folie-a-deux,omprakashd,2
eternal-sunshine-of-the-spotless-mind,omprakashd,9
the-blair-witch-project,omprakashd,7
sinister,omprakashd,6
catch-me-if-you-can-2002,omprakashd,8
juror-2,omprakashd,7
a-history-of-violence,omprakashd,7
superman-2025,omprakashd,10
harry-potter-and-the-philosophers-stone,omprakashd,8
panic-room,omprakashd,8
the-fault-in-our-stars,omprakashd,8
the-evil-dead,omprakashd,7
the-hunt-2012,omprakashd,9
godzilla-kong-the-new-empire,omprakashd,6
parasite-2019,omprakashd,10
the-marvels,omprakashd,6
looper,omprakashd,7
scream-vi,omprakashd,8
donnie-darko,omprakashd,7
john-wick-chapter-4,omprakashd,9
malignant-2021,omprakashd,7
doctor-strange-in-the-multiverse-of-madness,omprakashd,7
the-worst-person-in-the-world,omprakashd,8
the-killing-of-a-sacred-deer,omprakashd,7
2001-a-space-odyssey,omprakashd,8
se7en,omprakashd,8
knives-out-2019,omprakashd,10
eyes-wide-shut,omprakashd,8
f1,omprakashd,10
puss-in-boots,omprakashd,7
the-skin-i-live-in,omprakashd,6
the-irishman-2019,omprakashd,10
the-silence-of-the-lambs,omprakashd,9
thunderbolts,omprakashd,8
before-sunrise,omprakashd,9
train-to-busan,omprakashd,9
burning-2018,omprakashd,10
