movie_id,rating_val
05-mm,16
1-2013-1,32
10,23
10-65-self-mutilation,33
10-cloverfield-lane,604
10-rillington-place,38
10-things-i-hate-about-you,442
10-to-11,13
10-to-midnight,75
10-years,42
100-bloody-acres,17
100-feet,10
10000-bc,16
10000-km,22
10000-saints,14
100000-everything-i-never-wanted,10
101-dalmatians,117
101-dalmatians-ii-patchs-london-adventure,16
102-dalmatians,35
102-minutes-that-changed-america,16
10x10,11
11-14,18
11-22-63,65
11-minutes,14
12-08-east-of-bucharest,48
12-angry-men,762
12-angry-men-1997,31
12-dates-of-christmas,37
12-hour-shift,38
12-oclock-boys,19
12-rounds,32
12-rounds-3-lockdown,9
12-strong,67
12-years-a-slave,686
120-seconds-to-get-elected,10
127-hours,326
13-assassins,176
13-cameras,33
13-ghosts,114
13-going-on-30,277
13-hours-the-secret-soldiers-of-benghazi,155
13-sins,48
13-tzameti,31
13th,543
14-blades,12
14-cameras,10
1408,146
1492-conquest-of-paradise,23
15-minutes,37
15-years,10
1500-words,16
16-blocks,69
16-wishes,9
17-again,95
17-blocks,25
1776,29
1900,16
1917,724
1922-2017,193
1941,60
1969,23
1982-2019-1,11
1985-2018,62
1989-world-tour,21
1990-the-bronx-warriors,30
1br,62
2-22-2017,27
2-days-in-new-york,26
2-days-in-paris,33
2-days-in-the-valley,30
2-fast-2-furious,176
2-guns,68
2-lava-2-lantula,12
2-or-3-things-i-know-about-her,65
2-seconds,9
2-x-50-years-of-french-cinema,9
20-feet-from-stardom,116
200-cigarettes,17
20000-days-on-earth,30
20000-leagues-under-the-sea-1954,87
20000-years-in-sing-sing,13
2001-a-space-odyssey,768
2001-maniacs,26
2010-1984,78
2012,126
2012-2013,18
2019-after-the-fall-of-new-york,44
2020-texas-gladiators,11
2036-nexus-dawn,74
2046,160
2048-nowhere-to-run,59
20th-century-women,546
21,94
21-87,28
21-bridges,116
21-grams,151
21-jump-street,586
21-over,52
21-up,15
22-female-kottayam,9
22-july,122
22-jump-street,489
22nd-of-may,15
23,15
24-city,31
24-frames,61
24-hour-party-people,37
24-hours-in-the-life-of-a-clown,24
24-hours-to-live,18
247f,19
24x36,15
25-ways-to-quit-smoking,10
25th-hour,295
26-years,9
26682,35
27-dresses,103
27-steps-of-may,9
28-days,25
28-days-later,417
28-up,17
28-weeks-later,132
2am-the-smiling-man,21
2everything2terrible2-tokyo-drift,18
2ldk,13
3-2003-1,42
3-4-2017,14
3-days-to-kill,42
3-faces,76
3-from-hell,148
3-generations,23
3-godfathers,15
3-headed-shark-attack,13
3-idiots,82
3-iron,97
3-men-and-a-baby,49
3-men-and-a-little-lady,18
3-ninjas,31
3-ninjas-high-noon-at-mega-mountain,15
3-women,100
30-days-of-night,121
30-minutes-or-less,64
30-rock-a-one-time-special,22
30-years-of-garbage-the-garbage-pail-kids-story,14
300,282
300-rise-of-an-empire,85
3000-miles-to-graceland,28
31-2016,108
310-to-yuma,89
310-to-yuma-2007,192
34-2018,13
35-shots-of-rum,116
365-days-2020,21
37-2009,17
4-44-last-day-on-earth,53
4-little-girls,17
4-months-3-weeks-and-2-days,92
40-days-and-40-nights,45
41-miles,40
42,85
42-up,36
42nd-street,106
4321,20
4444444444,44
45-years,336
47-meters-down,190
47-meters-down-uncaged,79
47-ronin-2013,51
48-hrs,143
49-up,40
49th-parallel,43
4d-man,28
5-centimeters-per-second,69
5-films-about-technology,12
5-fingers,16
5-flights-up,10
5-to-7,25
50-50,289
50-first-dates,192
500-days-of-summer,584
52-pick-up,38
52-tuesdays,13
537-votes,12
54,20
555-1988,18
56-up,24
6-18-67,14
6-balloons,63
6-bullets,11
6-day-bike-rider,12
6-days,39
6-days-to-air-the-making-of-south-park,45
6-souls,17
6-underground,168
6-years,47
63-up,17
666-beware-the-end-is-at-hand,16
68-kill,35
6ixtynin9,13
7-chinese-brothers,35
7-days-in-entebbe,23
7-days-in-hell,117
7-faces-of-dr-lao,14
7-guardians-of-the-tomb,11
7-men-from-now,14
7-plus-seven,58
7-up,22
71,221
71-fragments-of-a-chronology-of-chance,29
7500,76
76-minutes-and-15-seconds-with-abbas-kiarostami,14
77-minutes,10
78-52,111
78-tours,14
7p-cuis-s-de-b-a-saisir,26
7th-heaven,25
8-2019,16
8-46-2020,159
8-ball-bunny,12
8-half,351
8-heads-in-a-duffel-bag,9
8-mile,192
8-million-ways-to-die,35
8-women,64
8-women-1999,11
84-charing-cross-road,15
88,29
88-88-2015,9
88-minutes,9
8mm,128
9,127
9-11-simulation-in-roblox-environment,11
9-2005,19
9-deaths-of-the-ninja-1985,19
9-songs,21
92-in-the-shade,10
964-pinocchio,9
97,13
976-evil,38
976-evil-ii,24
99-homes,149
99-river-street,49
9th-company,9
a-babysitters-guide-to-monster-hunting,10
a-bad-idea-gone-wrong,14
a-bad-moms-christmas,67
a-ballerinas-tale,21
a-balloon-for-ben,13
a-band-called-death,56
a-bay-of-blood,130
a-beautiful-day-in-the-neighborhood,485
a-beautiful-mind,331
a-better-life,12
a-better-tomorrow,98
a-better-tomorrow-ii,32
a-better-tomorrow-iii-love-and-death-in-saigon,19
a-bigger-splash,18
a-bigger-splash-2015,320
a-birders-guide-to-everything,19
a-bittersweet-life,90
a-black-veil-for-lisa,21
a-blade-in-the-dark,34
a-bluebird-in-my-heart,16
a-boy-and-his-dog,40
a-boy-named-charlie-brown,12
a-brave-heart-the-lizzie-velasquez-story,14
a-bread-factory-part-one-for-the-sake-of-gold,17
a-bride-for-rip-van-winkle,15
a-bridge-too-far,47
a-brief-history-of-time,70
a-brighter-summer-day,163
a-bronx-tale,72
a-bucket-of-blood,80
a-bugs-life,333
a-bullet-for-the-general,14
a-bump-along-the-way,10
a-burning-hot-summer,38
a-busy-day,11
a-candle-for-the-devil,15
a-canterbury-tale,78
a-cat-in-paris,24
a-cat-in-the-brain,35
a-chairy-tale,13
a-charlie-brown-christmas,205
a-charlie-brown-thanksgiving,49
a-charlie-brown-valentine,9
a-chess-dispute,13
a-child-is-waiting,28
a-chinese-ghost-story,23
a-chinese-odyssey-part-one-pandoras-box,31
a-chinese-odyssey-part-two-cinderella,13
a-chorus-line,26
a-christmas-carol,13
a-christmas-carol-1984,37
a-christmas-carol-1999,17
a-christmas-carol-2009,127
a-christmas-horror-story,61
a-christmas-prince,38
a-christmas-prince-the-royal-baby,9
a-christmas-prince-the-royal-wedding,16
a-christmas-story-1983,354
a-christmas-tale,33
a-chump-at-oxford,23
a-cinderella-story,86
a-cinderella-story-christmas-wish,11
a-city-of-sadness,85
a-civil-action,31
a-clockwork-orange,693
a-close-shave-1995,120
a-cock-and-bull-story,34
a-colony,22
a-colour-box,17
a-colt-is-my-passport,36
a-common-crime,10
a-company-man,12
a-confucian-confusion,22
a-conspiracy-of-faith,24
a-corner-in-wheat,25
a-corny-concerto,23
a-couch-in-new-york,14
a-countess-from-hong-kong,28
a-creepshow-animated-special,13
a-cure-for-wellness,362
a-dandy-in-aspic,14
a-dangerous-method,130
a-dangerous-profession,14
a-dangerous-son,14
a-daring-daylight-burglary,12
a-dark-song,125
a-date-for-mad-mary,30
a-day-at-the-races,21
a-day-in-the-country,126
a-day-in-the-death-of-joe-egg,15
a-days-pleasure,50
a-deadly-adoption,27
a-depression-in-the-bay-of-bengal,9
a-desperate-poaching-affray,13
a-detective-story,12
a-devil-in-the-pocket,13
a-difficult-life,10
a-dirty-shame,53
a-divided-world,16
a-dog-that-smokes-weed,16
a-dogs-journey,38
a-dogs-life,36
a-dogs-purpose,86
a-dogs-way-home,21
a-dogs-will,29
a-dogwalkers-christmas-tale,10
a-dolls-house,11
a-dragonfly-for-each-corpse,27
a-dream-walking,13
a-dry-white-season,33
a-face-in-the-crowd,192
a-faithful-man,40
a-family-like-many-others,14
a-family-man,9
a-fantastic-fear-of-everything,49
a-fantastic-woman,230
a-fantasy,49
a-farewell-to-arms,24
a-feather-in-his-hare,10
a-few-good-men,210
a-field-in-england,152
a-film-johnnie,16
a-final-cut-for-orson-40-years-in-the-making,20
a-fire-in-a-burlesque-theatre,12
a-fish-called-wanda,280
a-fistful-of-dollars,420
a-fistful-of-fingers,10
a-flintstones-christmas-carol,9
a-force-of-one,12
a-foreign-affair,42
a-fortunate-man,12
a-fuller-life,28
a-funny-thing-happened-on-the-way-to-the-forum,38
a-futile-and-stupid-gesture,125
a-galinha-e-el-dragon-dorado,10
a-garfield-christmas-special,16
a-generation,22
a-gentle-creature-2017,32
a-gentle-woman,49
a-ghost-story-2017,659
a-gift-to-remember,12
a-girl-at-my-door,20
a-girl-in-black,10
a-girl-in-every-port-1928,12
a-girl-in-the-river-the-price-of-forgiveness,22
a-girl-like-her-2015,14
a-girl-walks-home-alone-at-night,361
a-glimpse-inside-the-mind-of-charles-swan-iii,20
a-good-day-to-die-hard,60
a-good-old-fashioned-orgy,38
a-good-wife,16
a-good-woman-is-hard-to-find,21
a-good-year,32
a-goofy-movie,183
a-grand-day-out,110
a-grand-night-in-the-story-of-aardman,21
a-gray-state,10
a-guide-to-recognizing-your-saints,11
a-guy-named-joe,11
a-hard-day,41
a-hard-days-night,235
a-haunted-house,28
a-haunted-house-2,25
a-heart-in-winter,9
a-hen-in-the-wind,14
a-hero-never-dies,26
a-hidden-life-2019,389
a-hijacking,44
a-history-of-horror,14
a-history-of-violence,357
a-hole-in-my-heart,9
a-hologram-for-the-king,37
a-horrible-way-to-die,48
a-horrible-woman,14
a-human-condition,10
a-kid-like-jake,15
a-kind-of-loving,10
a-kind-of-murder,9
a-king-in-new-york,31
a-kiss-before-dying,41
a-knife-for-the-ladies,10
a-knight-for-a-day,11
a-knights-tale,137
a-lake,15
a-land-imagined,22
a-late-quartet,26
a-league-of-their-own,190
a-legend-or-was-it,15
a-lego-brickumentary,17
a-lesson-in-love,26
a-letter-to-momo,22
a-letter-to-three-wives,34
a-liars-autobiography-the-untrue-story-of-monty-pythons-graham-chapman,11
a-life-less-ordinary,55
a-lion-in-the-house,10
a-little-bird-told-me,12
a-little-chaos,23
a-little-princess-1995,110
a-lizard-in-a-womans-skin,92
a-lonely-place-to-die,29
a-long-ride-from-hell,12
a-long-way-down,26
a-lot-like-love,12
a-love-song-for-bobby-long,43
a-love-song-for-latasha,14
a-lullaby-to-the-sorrowful-mystery,22
a-madea-christmas-2013,9
a-man-alone,14
a-man-and-a-woman,44
a-man-and-his-dog-out-for-air,12
a-man-apart,24
a-man-called-blade,10
a-man-called-ove,95
a-man-escaped,212
a-man-for-all-seasons,80
a-man-of-integrity,18
a-man-there-was,59
a-man-vanishes,23
a-married-couple,25
a-master-builder,28
a-matter-of-life-and-death,199
a-matter-of-loaf-and-death,49
a-matter-of-taste,11
a-mermaid-in-paris,10
a-midnight-clear,16
a-midsummer-nights-dream,14
a-midsummer-nights-dream-1999,45
a-midsummer-nights-sex-comedy,47
a-mighty-heart,14
a-mighty-wind,64
a-million-little-pieces,12
a-million-ways-to-die-in-the-west,162
a-miser-brothers-christmas,12
a-modern-coed,11
a-modern-farewell,10
a-modern-musketeer,15
a-moment-of-innocence,135
a-moment-to-remember,12
a-monster-calls,196
a-monster-in-paris,18
a-monster-with-a-thousand-heads,15
a-most-violent-year,425
a-most-wanted-man,144
a-movie,53
a-muppets-christmas-letters-to-santa,13
a-nasty-piece-of-work,24
a-new-leaf,119
a-night-at-the-garden,48
a-night-at-the-opera,146
a-night-at-the-roxbury,111
a-night-in-casablanca,40
a-night-in-the-show,12
a-night-out,17
a-night-to-remember,73
a-nightmare,44
a-nightmare-on-elm-street,485
a-nightmare-on-elm-street-2010,101
a-nightmare-on-elm-street-3-dream-warriors,280
a-nightmare-on-elm-street-4-the-dream-master,179
a-nightmare-on-elm-street-part-2-freddys-revenge,276
a-nightmare-on-elm-street-the-dream-child,145
a-nos-amours,103
a-nous-la-liberte,18
