movie_id,image_url,movie_title,year_released
the-man-from-snowy-river,film-poster/3/6/8/9/7/36897-the-man-from-snowy-river-0-230-0-345-crop,The Man from Snowy River,1982.0
four-weddings-and-a-funeral,sm/upload/9j/zy/5o/tg/md9kMKnLG8LG4pMDM98gy5x4K5L-0-230-0-345-crop,Four Weddings and a Funeral,1994.0
rabbit-fire,film-poster/1/2/7/1/3/12713-rabbit-fire-0-230-0-345-crop,Rabbit Fire,1951.0
how-i-got-into-college,film-poster/3/4/6/3/2/34632-how-i-got-into-college-0-230-0-345-crop,How I Got Into College,1989.0
the-den,sm/upload/xk/k0/3l/5g/dFwIg3PayhPpIzOZK1bNt8KBokk-0-230-0-345-crop,The Den,2013.0
in-the-shadow-of-women,sm/upload/28/ma/um/94/v6rwTr6OyjNR3Ny3pseM5ecGEIv-0-230-0-345-crop,In the Shadow of Women,2015.0
riot-girls,film-poster/4/1/2/9/3/8/412938-riot-girls-0-230-0-345-crop,Riot Girls,2019.0
sunnyside,film-poster/1/2/5/3/1/12531-sunnyside-0-230-0-345-crop,Sunnyside,1919.0
slugs,film-poster/3/3/6/5/9/33659-slugs-0-230-0-345-crop,Slugs,1988.0
they-call-me-jeeg,film-poster/2/9/9/5/4/5/299545-they-call-me-jeeg-robot-0-230-0-345-crop,They Call Me Jeeg,2015.0
bone,film-poster/3/4/8/6/4/34864-bone-0-230-0-345-crop,Bone,1972.0
children-of-the-corn-runaway,film-poster/3/7/8/1/3/5/378135-children-of-the-corn-runaway-0-230-0-345-crop,Children of the Corn: Runaway,2018.0
the-pope-of-greenwich-village,film-poster/3/0/6/6/4/30664-the-pope-of-greenwich-village-0-230-0-345-crop,The Pope of Greenwich Village,1984.0
blues-brothers-2000,film-poster/4/5/1/8/0/45180-blues-brothers-2000-0-230-0-345-crop,Blues Brothers 2000,1998.0
how-to-swim,film-poster/1/0/1/9/8/10198-how-to-swim-0-230-0-345-crop,How to Swim,1942.0
riddles-of-the-sphinx-1977,film-poster/1/4/7/3/5/8/147358-riddles-of-the-sphinx-0-230-0-345-crop,Riddles of the Sphinx,1977.0
la-bete-humaine,film-poster/3/2/8/8/3/32883-la-bete-humaine-0-230-0-345-crop,La Bête Humaine,1938.0
green-street-hooligans,film-poster/4/7/5/0/5/47505-green-street-hooligans-0-230-0-345-crop,Green Street Hooligans,2005.0
my-blind-brother,film-poster/3/1/6/0/2/1/316021-my-blind-brother-0-230-0-345-crop,My Blind Brother,2016.0
purple-rain,sm/upload/3u/yq/fn/hr/epUyAfIgsrpIcY0qi6dhnay5rpl-0-230-0-345-crop,Purple Rain,1984.0
the-dead-center,film-poster/4/7/8/7/1/8/478718-the-dead-center-0-230-0-345-crop,The Dead Center,2018.0
pump-up-the-volume,sm/upload/j7/2k/aq/21/5Re4KeKhTXRdTb52R31zNisGwqc-0-230-0-345-crop,Pump Up the Volume,1990.0
beverly-hills-cop-iii,film-poster/5/1/7/5/3/51753-beverly-hills-cop-iii-0-230-0-345-crop,Beverly Hills Cop III,1994.0
the-back-up-plan,film-poster/2/8/9/1/6/28916-the-back-up-plan-0-230-0-345-crop,The Back-Up Plan,2010.0
the-spook-who-sat-by-the-door,film-poster/4/4/3/9/4439-the-spook-who-sat-by-the-door-0-230-0-345-crop,The Spook Who Sat by the Door,1973.0
the-last-will-and-testament-of-rosalind-leigh,film-poster/8/6/0/6/7/86067-the-last-will-and-testament-of-rosalind-leigh-0-230-0-345-crop,The Last Will and Testament of Rosalind Leigh,2012.0
a-deadly-adoption,film-poster/2/7/4/1/7/5/274175-a-deadly-adoption-0-230-0-345-crop,A Deadly Adoption,2015.0
the-marquise-of-o,film-poster/1/7/3/1/3/17313-the-marquise-of-o-0-230-0-345-crop,The Marquise of O,1976.0
say-it-isnt-so,film-poster/3/9/1/0/3/39103-say-it-isn-t-so-0-230-0-345-crop,Say It Isn't So,2001.0
lily-and-jim,sm/upload/g8/dl/ej/d2/Bitter_Films_vol1-6-0-230-0-345-crop,Lily and Jim,1997.0
